  blen   clen S U reps  ns  sp|     naive/s|   trimmed/s    as pct nv|  ftrimmed/s    as pct nv|
  1900    650 1 1    5  10 100|      8232.0|    336606.6       4089.0|   +338577.5      +4113.0|
  1200   1200 0 0   10  10 100|      9106.3|   3390423.3      37231.7|  +3779517.0     +41504.5|
  1200   1200 1 0   10  10 100|      9112.4|   3423098.3      37565.2|  +3743913.0     +41085.8|
  3500   1200 0 1   10  10 100|      3692.8|    332001.4       8990.4|   +334063.8      +9046.2|
  3500   1200 1 1   10  10 100|      3705.6|    336339.7       9076.5|   +338209.9      +9126.9|
  5600   5600 0 0   50  10 100|      1699.0|  +2450932.2    +144258.3|   2321560.9     136643.7|
  5600   5600 1 0   50  10 100|      1690.5|   2157928.0     127652.3|  +2500556.5    +147920.5|
 16300   5600 0 1   50  10 100|       685.2|   +290396.6     +42381.9|    286634.2      41832.8|
 16300   5600 1 1   50  10 100|       690.2|    290297.1      42057.8|   +290569.2     +42097.3|
 11100  11100 0 0  100  10 100|       839.6|   1499605.1     178605.5|  +1775499.4    +211465.0|
 11100  11100 1 0  100  10 100|       839.8|   1708328.8     203410.8|  +1934718.8    +230367.1|
 32300  11100 0 1  100  10 100|       341.5|    256513.5      75104.9|   +260284.9     +76209.1|
 32300  11100 1 1  100  10 100|       340.9|   +261779.7     +76781.7|    258467.7      75810.2|
    52     52 0 0    1  50   1|    274179.6|   7694129.5       2806.2| +10307258.9      +3759.3|
    52     52 1 0    1  50   1|    260591.5|   7779347.8       2985.3| +10276490.5      +3943.5|
   106     52 0 1    1  50   1|    249956.5|   6766147.7       2706.9|  +8765564.8      +3506.8|
   106     52 1 1    1  50   1|    239845.2|   6793983.5       2832.7|  +8450111.6      +3523.2|
   256    256 0 0    5  50   1|     62822.1|   7537252.2      11997.8| +10052774.4     +16002.0|
   256    256 1 0    5  50   1|     61910.1|   7629445.9      12323.4|  +9801604.6     +15832.0|
   518    256 0 1    5  50   1|     56985.0|   6372832.3      11183.3|  +7704760.8     +13520.7|
   518    256 1 1    5  50   1|     56374.4|   6190199.4      10980.5|  +8339052.8     +14792.3|
   511    511 0 0   10  50   1|     32399.5|   6800476.3      20989.4|  +8960991.7     +27657.8|
   511    511 1 0   10  50   1|     31873.5|   6849593.5      21489.9|  +9305075.9     +29193.8|
  1033    511 0 1   10  50   1|     29158.7|   6276076.5      21523.9|  +7381677.1     +25315.5|
  1033    511 1 1   10  50   1|     27739.0|   5871008.9      21165.1|  +7471345.1     +26934.4|
  2551   2551 0 0   50  50   1|      6542.2|   4906977.4      75004.6|  +5649281.3     +86351.0|
  2551   2551 1 0   50  50   1|      6228.5|   5395287.3      86623.1|  +6400344.4    +102759.7|
  5153   2551 0 1   50  50   1|      5945.5|   3574200.8      60115.8|  +4068765.7     +68434.0|
  5153   2551 1 1   50  50   1|      5958.4|   4096899.3      68757.9|  +4189511.6     +70312.2|
  5101   5101 0 0  100  50   1|      3284.1|   3769245.0     114772.7|  +4426168.6    +134775.9|
  5101   5101 1 0  100  50   1|      3267.4|   4018898.7     123001.6|  +4713098.0    +144248.2|
 10303   5101 0 1  100  50   1|      2993.0|  +2697377.3     +90123.9|   2472167.1      82599.2|
 10303   5101 1 1  100  50   1|      2986.1|  +2891932.6     +96847.8|   2690313.8      90095.8|
    60     60 0 0    1  50   5|    272907.3|   7157813.5       2622.8|  +9388246.9      +3440.1|
    60     60 1 0    1  50   5|    260120.6|   7030765.3       2702.9|  +9455201.7      +3634.9|
   130     60 0 1    1  50   5|    246782.6|   4419255.9       1790.7|  +4988403.8      +2021.4|
   130     60 1 1    1  50   5|    236442.2|   4254211.4       1799.3|  +4921531.3      +2081.5|
   280    280 0 0    5  50   5|     58575.4|   6498663.7      11094.5|  +8940385.8     +15263.0|
   280    280 1 0    5  50   5|     57742.8|   7086580.9      12272.7|  +8728141.2     +15115.6|
   590    280 0 1    5  50   5|     52873.8|   4169041.5       7884.9|  +4596639.2      +8693.6|
   590    280 1 1    5  50   5|     51971.2|   4284518.0       8244.0|  +5268853.3     +10138.0|
   555    555 0 0   10  50   5|     29545.1|   6849996.7      23184.8|  +8191842.6     +27726.5|
   555    555 1 0   10  50   5|     29504.0|   6805309.7      23065.7|  +8615917.0     +29202.5|
  1165    555 0 1   10  50   5|     26526.5|   3308548.0      12472.6|  +3947891.1     +14882.8|
  1165    555 1 1   10  50   5|     26437.0|   3473292.9      13138.0|  +3682829.3     +13930.6|
  2755   2755 0 0   50  50   5|      6014.5|   4495940.9      74751.4|  +4836910.0     +80420.5|
  2755   2755 1 0   50  50   5|      5984.4|   5094466.0      85128.7|  +5345605.8     +89325.3|
  5765   2755 0 1   50  50   5|      5393.1|   2672675.5      49557.5|  +3226956.9     +59835.1|
  5765   2755 1 1   50  50   5|      5328.7|   2719894.6      51042.6|  +3074556.5     +57698.3|
  5505   5505 0 0  100  50   5|      3019.4|   3487563.1     115504.6|  +4495832.0    +148897.4|
  5505   5505 1 0  100  50   5|      3002.5|   3782926.5     125993.0|  +4145092.5    +138055.2|
 11515   5505 0 1  100  50   5|      2706.7|   1996993.3      73780.6|  +2045182.0     +75561.0|
 11515   5505 1 1  100  50   5|      2709.6|  +2014302.5     +74339.0|   1851053.2      68314.2|
    70     70 0 0    1  50  10|    275073.9|   6780220.0       2464.9|  +8604739.9      +3128.2|
    70     70 1 0    1  50  10|    260111.7|   6826983.1       2624.6|  +8699326.7      +3344.5|
   160     70 0 1    1  50  10|    242335.0|   2732726.6       1127.7|  +2987095.3      +1232.6|
   160     70 1 1    1  50  10|    231630.5|   2775177.4       1198.1|  +3037771.9      +1311.5|
   310    310 0 0    5  50  10|     53485.6|   6447087.7      12053.9|  +8119408.6     +15180.6|
   310    310 1 0    5  50  10|     53077.0|   6710882.3      12643.7|  +8260967.4     +15564.1|
   680    310 0 1    5  50  10|     46958.2|   2594405.1       5524.9|  +2899305.0      +6174.2|
   680    310 1 1    5  50  10|     46334.4|   2566333.7       5538.7|  +2873629.7      +6201.9|
   610    610 0 0   10  50  10|     26972.1|   6408078.3      23758.2|  +7604974.3     +28195.7|
   610    610 1 0   10  50  10|     26807.3|   6451547.9      24066.4|  +7988619.3     +29800.1|
  1330    610 0 1   10  50  10|     23337.2|   2317335.3       9929.8|  +2565684.1     +10994.0|
  1330    610 1 1   10  50  10|     23167.6|   2308607.1       9964.8|  +2519341.2     +10874.4|
  3010   3010 0 0   50  50  10|      5394.0|   4200074.5      77865.9|  +5252543.5     +97377.9|
  3010   3010 1 0   50  50  10|      5411.2|   4785789.9      88442.1|  +5648903.7    +104392.5|
  6530   3010 0 1   50  50  10|      4693.2|  +2058989.1     +43872.1|   2048847.7      43656.0|
  6530   3010 1 1   50  50  10|      4690.2|   1893444.1      40370.3|  +2009474.5     +42844.2|
  6010   6010 0 0  100  50  10|      2718.6|   2882514.2     106028.0|  +4067886.0    +149629.8|
  6010   6010 1 0  100  50  10|      2698.5|   3373793.0     125024.6|  +3563620.5    +132059.1|
 13030   6010 0 1  100  50  10|      2347.1|  +1412612.1     +60185.7|   1400421.4      59666.3|
 13030   6010 1 1  100  50  10|      2338.2|  +1382323.2     +59118.6|   1350200.1      57744.8|
   150    150 0 0    1  50  50|    270433.5|   5267954.4       1948.0|  +6080280.4      +2248.3|
   150    150 1 0    1  50  50|    256057.6|   5033175.1       1965.6|  +6114288.4      +2387.9|
   400    150 0 1    1  50  50|    199067.2|    656443.7        329.8|   +666042.9       +334.6|
   400    150 1 1    1  50  50|    200273.8|    657828.2        328.5|   +668305.1       +333.7|
   550    550 0 0    5  50  50|     28823.5|   5004203.3      17361.6|  +5780345.1     +20054.3|
   550    550 1 0    5  50  50|     28382.8|   5029706.6      17721.0|  +5775270.4     +20347.8|
  1400    550 0 1    5  50  50|     17874.0|    633941.5       3546.7|   +644801.6      +3607.5|
  1400    550 1 1    5  50  50|     17947.3|    631064.0       3516.2|   +644487.1      +3591.0|
  1050   1050 0 0   10  50  50|     13631.7|   4812940.0      35307.0|  +5523978.7     +40523.0|
  1050   1050 1 0   10  50  50|     13564.0|   4890099.9      36052.0|  +5568000.7     +41049.7|
  2650   1050 0 1   10  50  50|      8419.0|    634612.3       7537.9|   +635658.9      +7550.3|
  2650   1050 1 1   10  50  50|      8396.0|    635785.5       7572.5|   +645488.8      +7688.0|
  5050   5050 0 0   50  50  50|      2609.2|   3332387.7     127717.3|  +3507560.0    +134430.9|
  5050   5050 1 0   50  50  50|      2607.6|   3236145.0     124105.5|  +3708135.5    +142206.3|
 12650   5050 0 1   50  50  50|      1602.5|   +528576.5     +32983.7|    499603.6      31175.8|
 12650   5050 1 1   50  50  50|      1598.4|   +533344.3     +33367.2|    522599.5      32695.0|
 10050  10050 0 0  100  50  50|      1301.8|   1911140.3     146807.1|  +2542818.3    +195330.3|
 10050  10050 1 0  100  50  50|      1294.8|  +2706447.3    +209032.0|   2292412.1     177054.1|
 25150  10050 0 1  100  50  50|       793.1|    428246.8      53998.7|   +437641.8     +55183.4|
 25150  10050 1 1  100  50  50|       787.0|    438684.3      55742.2|   +445183.5     +56568.1|
   250    250 0 0    1  50 100|    263922.7|   3557169.4       1347.8|  +4024187.3      +1524.8|
   250    250 1 0    1  50 100|    249697.6|   3590531.7       1438.0|  +4011383.3      +1606.5|
   700    250 0 1    1  50 100|    176845.4|    336875.0        190.5|   +346030.2       +195.7|
   700    250 1 1    1  50 100|    172028.8|    341426.0        198.5|   +346055.6       +201.2|
   850    850 0 0    5  50 100|     16344.9|   3395879.0      20776.4|  +3874855.7     +23706.9|
   850    850 1 0    5  50 100|     16236.2|   3367612.7      20741.3|  +3791530.9     +23352.3|
  2300    850 0 1    5  50 100|      7436.8|    334108.5       4492.6|   +334861.7      +4502.8|
  2300    850 1 1    5  50 100|      7403.3|    332540.8       4491.8|   +336172.1      +4540.9|
  1600   1600 0 0   10  50 100|      7512.7|   2736269.8      36422.0|  +2972338.7     +39564.3|
  1600   1600 1 0   10  50 100|      7475.5|   2706029.9      36198.7|  +3004372.2     +40189.6|
  4300   1600 0 1   10  50 100|      3387.1|   +331904.1      +9799.2|    331110.9       9775.7|
  4300   1600 1 1   10  50 100|      3386.5|    328116.5       9688.9|   +331170.2      +9779.1|
  7600   7600 0 0   50  50 100|      1408.0|   2043620.7     145146.3|  +2505136.2    +177925.0|
  7600   7600 1 0   50  50 100|      1391.9|   2212794.2     158972.3|  +2470188.2    +177464.1|
 20300   7600 0 1   50  50 100|       630.3|   +280100.4     +44442.2|    273644.5      43417.9|
 20300   7600 1 1   50  50 100|       632.3|    276257.0      43689.5|   +279661.1     +44227.9|
 15100  15100 0 0  100  50 100|       695.8|   1397254.5     200798.8|  +1462543.9    +210181.5|
 15100  15100 1 0  100  50 100|       701.2|   1235577.0     176217.5|  +1407886.4    +200792.1|
 40300  15100 0 1  100  50 100|       313.0|    238118.6      76071.0|   +240219.3     +76742.1|
 40300  15100 1 1  100  50 100|       313.1|    231723.1      74010.4|   +231849.8     +74050.9|
   102    102 0 0    1 100   1|    149510.8|   7550417.9       5050.1|  +9980221.1      +6675.3|
   102    102 1 0    1 100   1|    145317.2|   7602834.2       5231.9|  +9692603.5      +6670.0|
   206    102 0 1    1 100   1|    135722.1|   6349589.6       4678.4|  +8685495.7      +6399.5|
   206    102 1 1    1 100   1|    133153.0|   6876479.6       5164.3|  +8561346.9      +6429.7|
   506    506 0 0    5 100   1|     32288.0|   7294752.2      22592.7|  +9437598.0     +29229.4|
   506    506 1 0    5 100   1|     32136.8|   7298934.6      22712.1|  +9574070.4     +29791.6|
  1018    506 0 1    5 100   1|     29530.3|   6226791.2      21086.1|  +7651857.6     +25911.9|
  1018    506 1 1    5 100   1|     29480.7|   6348113.2      21533.1|  +7040594.1     +23882.1|
  1011   1011 0 0   10 100   1|     16445.0|   6801003.8      41356.0|  +8831085.4     +53700.7|
  1011   1011 1 0   10 100   1|     16289.3|   6956760.7      42707.5|  +8428842.0     +51744.5|
  2033   1011 0 1   10 100   1|     13999.5|   4376576.8      31262.3|  +5057636.6     +36127.1|
  2033   1011 1 1   10 100   1|     14913.4|   4364976.5      29268.8|  +5292811.9     +35490.3|
  5051   5051 0 0   50 100   1|      3339.4|   3333197.9      99813.7|  +4464978.4    +133705.3|
  5051   5051 1 0   50 100   1|      3302.5|   3688645.2     111691.2|  +4279990.7    +129597.0|
 10153   5051 0 1   50 100   1|      3024.9|   2493252.9      82425.2|  +2832976.3     +93656.2|
 10153   5051 1 1   50 100   1|      3025.2|  +2826910.0     +93445.0|   2375660.5      78528.7|
 10101  10101 0 0  100 100   1|      1673.6|   2410542.5     144029.7|  +2875639.0    +171819.2|
 10101  10101 1 0  100 100   1|      1664.7|   2699104.5     162134.4|  +2704048.2    +162431.3|
 20303  10101 0 1  100 100   1|      1520.5|   1252654.3      82385.2|  +1280824.2     +84237.9|
 20303  10101 1 1  100 100   1|      1519.0|   1239229.4      81582.3|  +1245101.1     +81968.8|
   110    110 0 0    1 100   5|    149756.5|   7279690.7       4861.0|  +8951172.8      +5977.2|
   110    110 1 0    1 100   5|    144691.7|   7077769.2       4891.6|  +9192378.8      +6353.1|
   230    110 0 1    1 100   5|    136332.5|   4429542.3       3249.1|  +4991653.1      +3661.4|
   230    110 1 1    1 100   5|    131922.1|   4341241.8       3290.8|  +4944901.2      +3748.3|
   530    530 0 0    5 100   5|     31339.8|   6524506.0      20818.6|  +8750833.8     +27922.5|
   530    530 1 0    5 100   5|     31027.7|   6871115.6      22145.1|  +8041697.5     +25917.8|
  1090    530 0 1    5 100   5|     28296.4|   3473299.6      12274.7|  +3842345.1     +13578.9|
  1090    530 1 1    5 100   5|     28056.8|   3593064.9      12806.4|  +3788193.3     +13501.9|
  1055   1055 0 0   10 100   5|     15749.9|   5201617.8      33026.4|  +5811330.7     +36897.7|
  1055   1055 1 0   10 100   5|     15700.8|   5058342.6      32217.2|  +5819560.5     +37065.4|
  2165   1055 0 1   10 100   5|     14213.0|   3035134.0      21354.6|  +3520451.2     +24769.1|
  2165   1055 1 1   10 100   5|     14190.7|   3273789.6      23070.0|  +3496860.7     +24641.9|
  5255   5255 0 0   50 100   5|      3197.6|   3461724.2     108261.3|  +4269013.0    +133508.3|
  5255   5255 1 0   50 100   5|      3175.7|   4023121.8     126683.1|  +4259530.5    +134127.3|
 10765   5255 0 1   50 100   5|      2852.3|   1896556.0      66493.1|  +2033586.9     +71297.4|
 10765   5255 1 1   50 100   5|      2872.7|   1853418.7      64517.4|  +2193684.2     +76362.0|
 10505  10505 0 0  100 100   5|      1597.3|   2371972.0     148502.7|  +2756871.4    +172600.2|
 10505  10505 1 0  100 100   5|      1590.6|   2631100.1     165415.0|  +2825525.6    +177638.4|
 21515  10505 0 1  100 100   5|      1439.8|   1063861.7      73891.8|  +1093531.1     +75952.6|
 21515  10505 1 1  100 100   5|      1439.9|  +1083564.0     +75252.9|   1062846.2      73814.1|
   120    120 0 0    1 100  10|    149646.0|   6888600.7       4603.3|  +8508799.4      +5686.0|
   120    120 1 0    1 100  10|    145178.1|   6725442.5       4632.5|  +8671854.6      +5973.3|
   260    120 0 1    1 100  10|    133974.9|   2719948.7       2030.2|  +2973398.9      +2219.4|
   260    120 1 1    1 100  10|    130401.3|   2762225.5       2118.2|  +2982887.4      +2287.5|
   560    560 0 0    5 100  10|     29960.1|   6107584.9      20385.8|  +7703072.5     +25711.1|
   560    560 1 0    5 100  10|     29695.5|   6190669.0      20847.2|  +7743466.8     +26076.2|
  1180    560 0 1    5 100  10|     26535.5|   2244499.6       8458.5|  +2511229.0      +9463.7|
  1180    560 1 1    5 100  10|     26311.4|   2382013.3       9053.2|  +2505827.4      +9523.7|
  1110   1110 0 0   10 100  10|     14900.4|   4545546.6      30506.1|  +5704879.2     +38286.7|
  1110   1110 1 0   10 100  10|     13609.9|   4578231.0      33639.1|  +6903561.7     +50724.7|
  2330   1110 0 1   10 100  10|     13275.2|   2133457.2      16071.0|  +2431662.6     +18317.3|
  2330   1110 1 1   10 100  10|     13287.4|   2138925.1      16097.4|  +2436101.2     +18333.9|
  5510   5510 0 0   50 100  10|      3020.4|   3347876.7     110843.6|  +3849284.2    +127444.5|
  5510   5510 1 0   50 100  10|      3007.4|   3293957.2     109529.5|  +3973116.7    +132112.7|
 11530   5510 0 1   50 100  10|      2674.2|   1422106.6      53177.9|  +1606381.9     +60068.6|
 11530   5510 1 1   50 100  10|      2475.1|   1478204.4      59722.8|  +1579635.1     +63820.8|
 11010  11010 0 0  100 100  10|      1509.8|   2538081.5     168112.3|  +2616457.2    +173303.6|
 11010  11010 1 0  100 100  10|      1506.2|   1990274.6     132143.1|  +2438014.5    +161870.6|
 23030  11010 0 1  100 100  10|      1330.0|    919259.7      69116.8|   +937587.2     +70494.8|
 23030  11010 1 1  100 100  10|      1331.7|    914765.2      68691.5|   +942492.0     +70773.6|
   200    200 0 0    1 100  50|    148630.9|   5020742.9       3378.0|  +6003885.7      +4039.5|
   200    200 1 0    1 100  50|    144022.5|   5121558.2       3556.1|  +5955379.8      +4135.0|
   500    200 0 1    1 100  50|    123555.6|    658812.8        533.2|   +668943.7       +541.4|
   500    200 1 1    1 100  50|    120460.9|    656385.4        544.9|   +670221.2       +556.4|
   800    800 0 0    5 100  50|     20111.5|   4724535.2      23491.7|  +5736644.6     +28524.1|
   800    800 1 0    5 100  50|     20112.4|   4997411.4      24847.4|  +5580924.5     +27748.6|
  1900    800 0 1    5 100  50|     13930.0|    623825.7       4478.3|   +642486.8      +4612.3|
  1900    800 1 1    5 100  50|     13829.8|    629770.2       4553.7|   +640922.4      +4634.3|
  1550   1550 0 0   10 100  50|      9703.9|   3586257.3      36956.8|  +4340279.9     +44727.1|
  1550   1550 1 0   10 100  50|      9696.4|   4036808.1      41632.0|  +4209335.3     +43411.3|
  3650   1550 0 1   10 100  50|      6613.3|    580831.0       8782.8|   +627018.4      +9481.2|
  3650   1550 1 1   10 100  50|      6557.5|    616724.2       9404.8|   +630613.3      +9616.6|
  7550   7550 0 0   50 100  50|      1884.5|   2662227.0     141267.0|  +2950582.3    +156568.1|
  7550   7550 1 0   50 100  50|      1875.5|   2946471.8     157105.3|  +3042703.8    +162236.4|
 17650   7550 0 1   50 100  50|      1271.7|    461104.2      36259.7|   +478306.7     +37612.5|
 17650   7550 1 1   50 100  50|      1261.7|   +474035.2     +37572.4|    464727.8      36834.7|
 15050  15050 0 0  100 100  50|       940.9|   1528584.7     162455.7|  +1607278.4    +170819.1|
 15050  15050 1 0  100 100  50|       935.6|   1456188.7     155642.3|  +1748704.0    +186907.3|
 35150  15050 0 1  100 100  50|       631.7|   +399714.6     +63279.5|    380006.1      60159.4|
 35150  15050 1 1  100 100  50|       634.4|   +400354.5     +63106.0|    391440.8      61701.0|
   300    300 0 0    1 100 100|    146532.3|   3581470.1       2444.1|  +3973074.2      +2711.4|
   300    300 1 0    1 100 100|    142513.3|   3571141.4       2505.8|  +3978273.9      +2791.5|
   800    300 0 1    1 100 100|    112041.1|    342038.0        305.3|   +345394.2       +308.3|
   800    300 1 1    1 100 100|    109097.9|    341915.2        313.4|   +345698.1       +316.9|
  1100   1100 0 0    5 100 100|     13111.7|   3497260.4      26672.8|  +3774952.8     +28790.7|
  1100   1100 1 0    5 100 100|     13114.2|   3463415.6      26409.6|  +3697124.8     +28191.7|
  2800   1100 0 1    5 100 100|      6641.4|    333279.4       5018.2|   +335679.9      +5054.4|
  2800   1100 1 1    5 100 100|      6525.8|   +334843.7      +5131.1|    332625.8       5097.1|
  2100   2100 0 0   10 100 100|      6144.0|   2729750.4      44429.5|  +3134305.8     +51014.0|
  2100   2100 1 0   10 100 100|      6139.6|   2904472.8      47307.0|  +3058741.4     +49819.7|
  5300   2100 0 1   10 100 100|      3039.4|    326058.4      10727.7|   +331931.9     +10921.0|
  5300   2100 1 1   10 100 100|      3053.0|    328820.8      10770.3|   +330621.6     +10829.2|
 10100  10100 0 0   50 100 100|      1169.8|   2136485.5     182639.3|  +2220946.4    +189859.5|
 10100  10100 1 0   50 100 100|      1169.8|   1962512.8     167767.2|  +2214711.0    +189326.6|
 25300  10100 0 1   50 100 100|       573.6|    267841.8      46697.3|   +271096.0     +47264.7|
 25300  10100 1 1   50 100 100|       573.5|    271740.8      47386.7|   +272051.5     +47440.9|
 20100  20100 0 0  100 100 100|       577.1|   1011674.7     175306.6|  +1122953.6    +194589.4|
 20100  20100 1 0  100 100 100|       581.6|   1029731.6     177066.1|  +1142063.6    +196382.0|
 50300  20100 0 1  100 100 100|       284.9|   +226421.6     +79481.3|    219674.8      77113.0|
 50300  20100 1 1  100 100 100|       261.6|    225963.9      86374.1|   +227845.2     +87093.3|
****************************************************************
Regression 'naive'
****************************************************************
Name           	       Theta	      StdErr	 T-stat
[0='const']    	 543192.4536	  31290.1561	  17.36
[1='segments'] 	  -5963.4512	    505.5160	 -11.80
[2='ns_len']   	  -3811.6920	    374.4922	 -10.18
[3='sp_len']   	  -2617.1242	    377.7437	  -6.93
[4='as_sub']   	 -25396.4614	  23886.7719	  -1.06
[5='unicode']  	 -64712.6085	  27649.4919	  -2.34
[6='blen']     	      3.1998	      4.1283	   0.78
[7='clen']     	     31.8385	      9.3498	   3.41

R^2= 0.338, N= 500, K= 8
****************************************************************
****************************************************************
Regression 'trimmed'
****************************************************************
Name           	       Theta	      StdErr	 T-stat
[0='const']    	7512390.2282	 122346.4551	  61.40
[1='segments'] 	 -16409.5684	   1976.5989	  -8.30
[2='ns_len']   	  -9016.8632	   1464.2876	  -6.16
[3='sp_len']   	 -40507.1236	   1477.0012	 -27.43
[4='as_sub']   	  52843.4435	  93398.7628	   0.57
[5='unicode']  	-2953333.2660	 108111.2319	 -27.32
[6='blen']     	     93.2788	     16.1421	   5.78
[7='clen']     	   -191.3023	     36.5583	  -5.23

R^2= 0.818, N= 500, K= 8
****************************************************************
****************************************************************
Regression 'ftrimmed'
****************************************************************
Name           	       Theta	      StdErr	 T-stat
[0='const']    	9551869.0082	 164928.2464	  57.92
[1='segments'] 	 -22711.1763	   2664.5398	  -8.52
[2='ns_len']   	 -12666.8026	   1973.9222	  -6.42
[3='sp_len']   	 -53083.0176	   1991.0607	 -26.66
[4='as_sub']   	  17284.4963	 125905.5210	   0.14
[5='unicode']  	-3951711.3590	 145738.5576	 -27.12
[6='blen']     	    147.0455	     21.7602	   6.76
[7='clen']     	   -275.5134	     49.2822	  -5.59

R^2= 0.808, N= 500, K= 8
****************************************************************
