  blen   clen S U reps  ns  sp|     naive/s|   trimmed/s    as pct nv|  ftrimmed/s    as pct nv|
   305    305 1 0    5   1  50|     48557.4|   4694811.5       9668.6|  +5895598.7     +12141.5|
   910    305 0 1    5   1  50|     25144.0|    648745.6       2580.1|   +649544.7      +2583.3|
   910    305 1 1    5   1  50|     25040.9|    654161.4       2612.4|   +663861.1      +2651.1|
   560    560 0 0   10   1  50|     22375.8|   4581233.4      20474.0|  +5921732.3     +26464.9|
   560    560 1 0   10   1  50|     22165.5|   4794657.6      21631.2|  +5559403.2     +25081.4|
  1670    560 0 1   10   1  50|     11434.5|    634261.6       5546.9|   +643978.9      +5631.9|
  1670    560 1 1   10   1  50|     11257.7|    636290.5       5652.0|   +641030.6      +5694.1|
  2600   2600 0 0   50   1  50|      4155.7|   3823615.1      92009.2|  +4241823.3    +102072.7|
  2600   2600 1 0   50   1  50|      4164.3|   3687964.7      88561.3|  +4085354.0     +98104.0|
  7750   2600 0 1   50   1  50|      2139.7|    595386.9      27825.7|   +602233.4     +28145.7|
  7750   2600 1 1   50   1  50|      2143.0|    596717.0      27844.8|   +603844.8     +28177.4|
  5150   5150 0 0  100   1  50|      2079.1|   3115882.6     149869.5|  +3542093.3    +170369.6|
  5150   5150 1 0  100   1  50|      2063.1|   3184776.9     154371.6|  +3433360.2    +166420.9|
 15350   5150 0 1  100   1  50|      1062.1|    497997.4      46886.0|   +520833.2     +49036.0|
 15350   5150 1 1  100   1  50|      1063.0|    512618.2      48224.3|   +521071.3     +49019.5|
   201    201 0 0    1   1 100|   1435976.5|   3611229.8        251.5|  +3987887.2       +277.7|
   201    201 1 0    1   1 100|   1112297.9|   3522664.0        316.7|  +3958580.3       +355.9|
   602    201 0 1    1   1 100|   +436385.1|    345277.2         79.1|    347880.0         79.7|
   602    201 1 1    1   1 100|   +410389.1|    344604.4         84.0|    348968.7         85.0|
   605    605 0 0    5   1 100|     21327.0|   3372856.1      15815.0|  +3812017.8     +17874.1|
   605    605 1 0    5   1 100|     20659.1|   3369707.7      16311.0|  +3766072.4     +18229.6|
  1810    605 0 1    5   1 100|      8387.7|    333743.9       3979.0|   +336426.1      +4011.0|
  1810    605 1 1    5   1 100|      8406.5|    333070.0       3962.0|   +336957.2      +4008.3|
  1110   1110 0 0   10   1 100|      9604.3|   3367089.1      35058.3|  +3801674.3     +39583.2|
  1110   1110 1 0   10   1 100|      9570.2|   3397260.4      35498.2|  +3826106.7     +39979.2|
  3320   1110 0 1   10   1 100|      3786.4|    333005.0       8794.8|   +336493.2      +8886.9|
  3320   1110 1 1   10   1 100|      3774.4|    334746.6       8868.9|   +337111.2      +8931.5|
  5150   5150 0 0   50   1 100|      1775.1|   2424598.3     136586.1|  +2835319.7    +159723.5|
  5150   5150 1 0   50   1 100|      1768.5|   2460788.7     139143.5|  +2837999.9    +160472.7|
 15400   5150 0 1   50   1 100|       699.5|    289364.4      41366.4|   +294283.9     +42069.6|
 15400   5150 1 1   50   1 100|       702.2|    289510.1      41226.2|   +296204.4     +42179.5|
 10200  10200 0 0  100   1 100|       872.4|   1898110.9     217571.1|  +2221794.0    +254673.3|
 10200  10200 1 0  100   1 100|       873.6|   2027600.5     232100.3|  +2100023.4    +240390.6|
 30500  10200 0 1  100   1 100|       346.7|    255322.7      73648.9|   +256034.1     +73854.1|
